"participant_id","pilotNumber","demo_gend","demo_educ","demo_occu","demo_reve","demo_degre","demo_cours","demo_lsat","demo_age","spanLength","treatment","isLotteryFirst","completionCountLottery","completionCountMirror","wrongAnswerCountLottery","wrongAnswerCountMirror","noSwitchCounter","noSwitchCounterFirstPart","noSwitchCounterSecondPart","noSwitchCounterLottery","noSwitchCounterMirror","payment_spanMpl","payment_spanSpan","payment_calibration","payment_total","mplType","mirror_ev","mirror_rtChoice","mirror_subBlockNumber","mirror_accuracy","mirror_rtSpanMpl","mirror_EGEmpirical","mirror_noSwitch","mirror_noSwitchSure","mirror_noSwitchLottery","lottery_ev","lottery_rtChoice","lottery_subBlockNumber","lottery_accuracy","lottery_rtSpanMpl","lottery_EGEmpirical","lottery_noSwitch","lottery_noSwitchSure","lottery_noSwitchLottery","mirror_position","lottery_position","pred","prob","multiplier","aboveMedRtChoice","aboveMedImpactCogLoad"
"rngkquxtmfkk8uk",3,"Femme","Diplôme d'études secondaires ou équivalent (ex.: BEP/CAP)","Employé·e à temps partiel (jusqu'à 34h par semaine)","Entre 500 € et 1000 €","Non","Non","7",44,8,"easy",TRUE,2,4,2,9,26,12,14,12,14,3.3,1,1,31.3,"GS25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,25,1,0,0
"rngkquxtmfkk8uk",3,"Femme","Diplôme d'études secondaires ou équivalent (ex.: BEP/CAP)","Employé·e à temps partiel (jusqu'à 34h par semaine)","Entre 500 € et 1000 €","Non","Non","7",44,8,"easy",TRUE,2,4,2,9,26,12,14,12,14,3.3,1,1,31.3,"GS50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,50,-1,0,0
"rngkquxtmfkk8uk",3,"Femme","Diplôme d'études secondaires ou équivalent (ex.: BEP/CAP)","Employé·e à temps partiel (jusqu'à 34h par semaine)","Entre 500 € et 1000 €","Non","Non","7",44,8,"easy",TRUE,2,4,2,9,26,12,14,12,14,3.3,1,1,31.3,"GS75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7,75,-1,0,0
"rngkquxtmfkk8uk",3,"Femme","Diplôme d'études secondaires ou équivalent (ex.: BEP/CAP)","Employé·e à temps partiel (jusqu'à 34h par semaine)","Entre 500 € et 1000 €","Non","Non","7",44,8,"easy",TRUE,2,4,2,9,26,12,14,12,14,3.3,1,1,31.3,"GS90",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1,3314.29999999981,13,1,1438.60000000009,26.9,1,1,0,NA,"low",22.5,90,-1,0,0
"rngkquxtmfkk8uk",3,"Femme","Diplôme d'études secondaires ou équivalent (ex.: BEP/CAP)","Employé·e à temps partiel (jusqu'à 34h par semaine)","Entre 500 € et 1000 €","Non","Non","7",44,8,"easy",TRUE,2,4,2,9,26,12,14,12,14,3.3,1,1,31.3,"LS10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.5,10,-1,0,0
"rngkquxtmfkk8uk",3,"Femme","Diplôme d'études secondaires ou équivalent (ex.: BEP/CAP)","Employé·e à temps partiel (jusqu'à 34h par semaine)","Entre 500 € et 1000 €","Non","Non","7",44,8,"easy",TRUE,2,4,2,9,26,12,14,12,14,3.3,1,1,31.3,"LS25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.3,25,-1,0,0
"rngkquxtmfkk8uk",3,"Femme","Diplôme d'études secondaires ou équivalent (ex.: BEP/CAP)","Employé·e à temps partiel (jusqu'à 34h par semaine)","Entre 500 € et 1000 €","Non","Non","7",44,8,"easy",TRUE,2,4,2,9,26,12,14,12,14,3.3,1,1,31.3,"LS50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.5,50,1,0,0
"rngkquxtmfkk8uk",3,"Femme","Diplôme d'études secondaires ou équivalent (ex.: BEP/CAP)","Employé·e à temps partiel (jusqu'à 34h par semaine)","Entre 500 € et 1000 €","Non","Non","7",44,8,"easy",TRUE,2,4,2,9,26,12,14,12,14,3.3,1,1,31.3,"LS75",-19.7,4304.20000000019,14,1,1357.89999999991,12.1,1,1,0,-17.1,6914.5,14,1,2878.20000000019,11.8472222222222,0,0,0,"high","high",-18.7,75,1,0,0
"rngkquxtmfkk8uk",3,"Femme","Diplôme d'études secondaires ou équivalent (ex.: BEP/CAP)","Employé·e à temps partiel (jusqu'à 34h par semaine)","Entre 500 € et 1000 €","Non","Non","7",44,8,"easy",TRUE,2,4,2,9,26,12,14,12,14,3.3,1,1,31.3,"LS90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.5,90,1,0,0
"rngkquxtmfkk8uk",3,"Femme","Diplôme d'études secondaires ou équivalent (ex.: BEP/CAP)","Employé·e à temps partiel (jusqu'à 34h par semaine)","Entre 500 € et 1000 €","Non","Non","7",44,8,"easy",TRUE,2,4,2,9,26,12,14,12,14,3.3,1,1,31.3,"AS10",0,15873,13,1,1158,15.8888888888889,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low",NA,0,50,-1,0,0
